question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
482,Təsərrüfat subyektlərinin ekoloji məsrəfləri nəyə daxildir?,tədqiqat istiqamətində aparılan xərclərə,təbii ehtiyatlardan istifadə xərclərinə,təbii mühitin mühafizə xərclərinə,müxtəlif texnoloji avadanlıqlardan istifadə xərclərinə,müəssisə nəzdində ümumi istehsal xərclərinə,e
483,Aşağıdakılardan hansı təbiəti mühafizə fəaliyyətinin növünə daxildir?,İES-lərin yaradılması,"ekoiqtisadi,ekohüququi sahələrdə ətraf mühitin mühafizə qanunvericiliyinin gözlənilməsi",ekoloji siyasətin hazırlanması,radiasiya təsirindən mühafizə,ekoloji auditin aparılmasının vaxtının və xərcinin müəyyən olunması,d
484,Təbiəti mühafizə fəaliyyətinin iqtisadi effektivliyi nədir?,təsərrüfat sahələrinə dəyən zərərlərin cəmi,təbii resursların iqtisadi qiymətləndirilməsi,təbiəti mühafizə tədbirlərinin stimullaşdırılması,resursların həcminin hesablanması,təbiəti mühafizə tədbirlərinin təmin və nəticələri arasında olan xərclərin münasibətidir,e
485,Ətraf mühitin mühafizə fəaliyyətinə qoyulmuş kapitalın mənimsənilməsi nəticəsində nə yaradılır?,kənd təsərrüfat sahələri,ekoloji pasportlar,atom elektrik stansiyaları,təbiəti mühafizə istiqamətli fondlar,kommunal təsərrüfat sahələri,d
486,Təcrübədə Kouz teoreminin çox hallarda işlənməməsinin səbəbi nədir?,sənaye və kənd təsərrüfatına dəyən zərərin çox olması,külli miqdarda maliyyə vəsaiti tələb olunur,tullantıların izn həddini keçməsi,ölkə miqyasında monitorinqin aparılması,ekoloji konfliktlərin həllində maraqlı olan tərəflərin çox olmasıdır,e
487,ƏMİ-nin tədqiqat istiqamətinə aid edilmir:,təbii resurs potensialı.,təbii şəraitin qiymətləndirilməsi,təbiəti mühafizə fəaliyyətinin maliyyələşməsi;,biosenoz,təbiətdən istifadənin tənzimlənməsi;,d
488,Təbiəti mühafizə tədbirləri hansı səviyyədə həll olunur?,kosmik səviyyədə;,ekoloji-iqtisadi kompleks səviyyəsində;,iqtisadi rayon səviyyəsində.,ekoloji-iqtisadi səviyyədə,təbii-ərazi kompleksində;,d
489,İxrac siyasətinin təbiətə yükünü azaltmaq üçün hansı addım təklif edilir?,İxracın təbiət tutumlu məhsullardan ibarət olmasını artırmaq,Yeyinti və kənd təsərrüfatı məhsullarının alınmasına,İxrac siyasətində dəyişikliklər edərək təbiət tutumlu məhsulların payını azaltmaq,Enerji resurslarının artırılmasına,İxracda kənd təsərrüfatı məhsullarının payını artırmaq,c
490,Azərbaycanın ixrac potensialının böyük hissəsini nə təşkil edir?,Bərpa olunan enerji resursları,Emal sənayesi məhsulları,Yeyinti və kənd təsərrüfatı məhsulları,Faydalı qazıntılar və yanacaq-enerji resursları,Kənd təsərrüfatı məhsulları,d
491,İqtisadiyyatda struktur dəyişiklikləri nəyə imkan verir?,Təbii resurslardan istifadə həcmini artırmağa,Əmək bazarını sabit saxlamağa,Təbii resurslardan maksimum istifadəni,Təbii resurslardan daha səmərəli istifadə etməyə və 20-30% qənaət etməyə,Təbiəti mühafizə qanunlarının tətbiqini dayandırmağa,d
492,"""Təbiətdən kənar"" fəaliyyət növlərinin inkişaf etdirilməsi nəyi nəzərdə tutur?",Təbii resurslardan maksimum istifadəni,Bütün istehsal sahələrinin bağlanmasını,Təbii resurslardan istifadə həcmini artırmağa,Təbiəti istismar və mühafizə ilə birbaşa bağlı olmayan fəaliyyət növlərinin inkişafını,Yalnız kənd təsərrüfatına üstünlük verilməsini,d
493,Ekoloji problemlərin həlli üçün aşağıdakı hansı ardıcıllıq məqsədəuyğundur?,Alternativ həll variantları → Birbaşa mühafizə tədbirləri → Resurs qənaətli texnologiyalar,Birbaşa mühafizə tədbirləri→ Alternativ həll variantları → Resurs qənaətli texnologiyalar,Resurs qənaətli texnologiyalar → Alternativ həll variantları → Birbaşa mühafizə tədbirləri,Birbaşa mühafizə tədbirləri → Alternativ həll variantları → Resurs qənaətli texnologiyalar,Alternativ həll variantları → Resurs qənaətli texnologiyalar → Birbaşa mühafizə tədbirləri,e
494,Ekoloji problemlərin həlli üçün ilk addım nədir?,Texnologiyaların yenidən qurulması,Yalnız ətraf mühitin təmizliyinə,Resursların ixracına nəzarət,Ekoloji problemlərin alternativ həll variantlarının hazırlanması,Təbiəti birbaşa qoruma tədbirləri,d
495,Təbiətdən istifadənin səmərəliliyinin təhlili nəyə kömək edir?,Milli iqtisadiyyatın gəlirinin artmasına,Təbiəti birbaşa qoruma tədbirləri,Ətraf mühitin iqtisadiyyatı elminin həddlərini aydınlaşdırmağa,Texnologiyaların inkişafına,Yalnız ətraf mühitin təmizliyinə,c
496,Dayanıqlı inkişaf üçün əsas maneələr hansılardır?,Resursların bərpa olunma sürəti,Sənaye və kənd təsərrüfatı arasında balansın olmaması,Əhalinin təhsil səviyyəsinin aşağı olması,Texnologiyanın inkişaf etməməsi,Təbiətə zərər verən iqtisadi fəaliyyətlər,e
497,Təbii resurslardan istifadədə hansı yanaşma daha səmərəlidir?,Təbii resursların limitsiz istifadəsi,Resursların ixrac üçün istifadə edilməsi,Texnologiyanın inkişafı ilə resursların əvəz edilməsi,Təbii resursların bərpa olunması prinsipinin tətbiqi,Yalnız iqtisadi mənfəətin nəzərə alınması,d
498,Alternativ enerji mənbələrinin istifadəsi hansı iqtisadi üstünlükləri təmin edir?,Təbii qaz və neftin daha çox ixrac edilməsi,Əmək bazarının azalması,Sənaye inkişafının ləngiməsi,Ətraf mühitin çirklənməsinin azalması,İstehsal xərclərinin artırılması,d
499,Təbii resursların iqtisadi səmərəliliyi nə ilə ölçülür?,İstehsal olunan məhsulun keyfiyyəti ilə,Ətraf mühitin qorunması və resursların davamlılığı ilə,Resursların bərpa olunma sürəti ilə,Resurslardan əldə edilən gəlirlə,Resursların tədarük miqdarı ilə,b
